Energy,Shell,MFP,MAC_Total,MAC_Incoherent,MAC_Coherent,MAC_Photoelectric,MAC_Pair_production,Inf_Flu_BUF,Fin_Flu_BUF,Inf_Exp_BUF,Fin_Exp_BUF,Inf_Eff_BUF,Fin_Eff_BUF
0.03,1,89.0,40.897494636,0.10166416154,0.55401733863,40.241813136,0.0,3.5784000000000004e+30,3.5436e+30,4.1372e+30,4.0127e+30,3.4392000000000003e+30,3.4077e+30
0.03,1,90.0,40.897494636,0.10166416154,0.55401733863,40.241813136,0.0,8.068300000000001e+30,7.9916e+30,9.2811e+30,9.0048e+30,7.755200000000001e+30,7.685700000000001e+30
0.03,1,91.0,40.897494636,0.10166416154,0.55401733863,40.241813136,0.0,1.8143e+31,1.7973e+31,2.0725e+31,2.0143e+31,1.7441e+31,1.7287e+31
0.03,1,92.0,40.897494636,0.10166416154,0.55401733863,40.241813136,0.0,4.0796e+31,4.0419e+31,4.6279e+31,4.5059e+31,3.9222e+31,3.8881e+31
0.03,1,93.0,40.897494636,0.10166416154,0.55401733863,40.241813136,0.0,9.1736e+31,9.09e+31,1.0334e+32,1.0079e+32,8.8207e+31,8.745e+31
0.03,1,94.0,40.897494636,0.10166416154,0.55401733863,40.241813136,0.0,2.0628e+32,2.0443e+32,2.3077e+32,2.2547e+32,1.9837e+32,1.9669e+32
0.03,1,95.0,40.897494636,0.10166416154,0.55401733863,40.241813136,0.0,4.6385e+32,4.5975e+32,5.1531e+32,5.0437e+32,4.4612e+32,4.424e+32
0.03,1,96.0,40.897494636,0.10166416154,0.55401733863,40.241813136,0.0,1.0437e+33,1.0347e+33,1.1817e+33,1.1476e+33,1.0036e+33,9.9549e+32
0.03,1,97.0,40.897494636,0.10166416154,0.55401733863,40.241813136,0.0,2.3484e+33,2.3285e+33,2.7099e+33,2.6112e+33,2.2578e+33,2.2401e+33
0.03,1,98.0,40.897494636,0.10166416154,0.55401733863,40.241813136,0.0,5.2841e+33,5.2401e+33,6.2143e+33,5.9412e+33,5.0794e+33,5.0407e+33
0.03,1,99.0,40.897494636,0.10166416154,0.55401733863,40.241813136,0.0,1.189e+34,1.1793e+34,1.4251e+34,1.3518e+34,1.1427e+34,1.1343e+34
